Date,Open,High,Low,Close,Adj Close,Volume,Name
01 January 2018,312,313.899994,309.100006,310.549988,301.562561,502603,ICICBANK
02 January 2018,310.200012,311.850006,307.75,309.25,300.300171,570898,ICICBANK
03 January 2018,310,316.5,310,315.049988,305.932312,523165,ICICBANK
04 January 2018,315,315.75,311.5,314.799988,305.689545,451538,ICICBANK
05 January 2018,313.25,315.149994,311.700012,312.600006,303.553253,432210,ICICBANK
08 January 2018,313,318.450012,312.799988,314.149994,305.05838,380365,ICICBANK
09 January 2018,315,315.399994,311,312.149994,303.116272,310551,ICICBANK
10 January 2018,312.5,315.799988,310.5,312,302.970612,245339,ICICBANK
11 January 2018,312,312,308.5,309.450012,300.494446,347853,ICICBANK
12 January 2018,309.450012,318.75,309,317.600006,308.408539,460794,ICICBANK
15 January 2018,319.299988,330.600006,319.299988,329.450012,319.915649,1412543,ICICBANK
16 January 2018,329.5,340.649994,326.549988,334.149994,324.479584,1183057,ICICBANK
17 January 2018,330,344,330,343.100006,333.170563,1081643,ICICBANK
18 January 2018,350,354.799988,343.799988,346.100006,336.083771,1362025,ICICBANK
19 January 2018,346.600006,355,340.950012,353.549988,343.318115,17406536,ICICBANK
22 January 2018,353,353,344.799988,351.299988,341.13324,684489,ICICBANK
23 January 2018,352.25,364.549988,351.049988,362.049988,351.572083,1024880,ICICBANK
24 January 2018,359.100006,359.100006,351.649994,352.649994,342.444183,979951,ICICBANK
25 January 2018,353.850006,362.700012,352.25,358.299988,347.930695,1609684,ICICBANK
29 January 2018,360,365.649994,355.100006,357.299988,346.959595,6302170,ICICBANK
30 January 2018,355.5,356.5,350.700012,352.600006,342.39566,2665176,ICICBANK
31 January 2018,349.399994,353.850006,343.549988,352.950012,342.735535,1743678,ICICBANK
01 February 2018,349.700012,355.700012,343.649994,345.75,335.743896,1990660,ICICBANK
02 February 2018,340,343.799988,333.5,334.799988,325.110748,1251325,ICICBANK
05 February 2018,329.899994,340.5,326,331.649994,322.051941,2172595,ICICBANK
06 February 2018,318.850006,337.700012,311.600006,330.75,321.178009,914562,ICICBANK
07 February 2018,335,336.299988,330,332.25,322.634583,626899,ICICBANK
08 February 2018,332.25,338.25,329.899994,334.549988,324.868011,677037,ICICBANK
09 February 2018,324,328.5,322.950012,326.75,317.293732,584968,ICICBANK
12 February 2018,333.899994,333.899994,323.399994,326,316.56546,470902,ICICBANK
14 February 2018,327.350006,327.350006,316.5,318.549988,309.331055,2841988,ICICBANK
15 February 2018,321.100006,331.5,320,328.600006,319.09024,756879,ICICBANK
16 February 2018,331,334,318.850006,321,311.710144,4329207,ICICBANK
19 February 2018,325,330,315.25,319.75,310.496277,2296011,ICICBANK
20 February 2018,320.950012,324,316.549988,317.649994,308.457092,4907394,ICICBANK
21 February 2018,315,320.299988,315,319.299988,310.059326,2031105,ICICBANK
22 February 2018,318.899994,319.100006,314.049988,318,308.796967,1343558,ICICBANK
23 February 2018,319.5,323.5,318.5,321.299988,312.001465,3483296,ICICBANK
26 February 2018,323.100006,327.75,323.100006,327,317.53656,418378,ICICBANK
27 February 2018,329,329,319.049988,319.649994,310.3992,2622221,ICICBANK
28 February 2018,315,317,311.200012,313.5,304.427185,1207549,ICICBANK
01 March 2018,313,313.950012,304.350006,305.25,296.415924,1708608,ICICBANK
05 March 2018,304.799988,306.350006,299.5,303.100006,294.328186,3408058,ICICBANK
06 March 2018,308.399994,308.399994,294,295.100006,286.559753,881895,ICICBANK
07 March 2018,292,294,285.299988,286.700012,278.402771,1428871,ICICBANK
08 March 2018,288,297.950012,288,296.950012,288.356201,1555655,ICICBANK
09 March 2018,300.950012,300.950012,290.649994,292.700012,284.229156,584776,ICICBANK
12 March 2018,294.299988,301.899994,293.75,300.700012,291.997589,922637,ICICBANK
