Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02 January 2023,615,619.25,611.5,612.25,614.3305963,189984,4986,116712984,56159,29.56,7.75,-2.75
03 January 2023,612.55,616.65,610.05,612.35,613.5911316,322698,8607,198004631,114623,35.52,6.6,-0.2
04 January 2023,612.35,615,603.8,605.25,608.8394219,212339,4861,129280354,83458,39.3,11.2,-7.1
05 January 2023,607.9,611.5,602.05,605.2,606.1875513,319390,9502,193610242,98741,30.92,9.45,-2.7
06 January 2023,606.1,607.45,597,600.6,601.0920727,362496,12093,217893472,165774,45.73,10.45,-5.5
09 January 2023,605.95,609,600.5,607.85,606.4784473,477133,6737,289370881,342628,71.81,8.5,1.9
10 January 2023,607.85,608.8,590.7,595.15,595.5686105,599806,16449,357225626,343326,57.24,18.1,-12.7
11 January 2023,596,599.4,592.35,596.55,596.9510893,332770,8806,198647414,155880,46.84,7.05,0.55
12 January 2023,597.8,597.8,590.3,595,593.6291817,405611,7367,240782526,280770,69.22,7.5,-2.8
13 January 2023,596.6,602.7,593.7,600.05,598.9435101,284458,10137,170374273,137758,48.43,9,3.45
16 January 2023,601.15,606,600.7,603,603.0538752,245456,5406,148023192,116641,47.52,5.3,1.85
17 January 2023,603.4,606,586.2,592.95,595.4658102,408441,13852,243212651,156144,38.23,19.8,-10.45
18 January 2023,596.85,597.1,587.85,591.4,591.3417871,322537,10380,190729606,101724,31.54,9.25,-5.45
19 January 2023,591.5,591.5,587.8,589.9,589.4744531,168181,5206,99138403,63026,37.48,3.7,-1.6
20 January 2023,592,596.5,590.5,592.1,594.2224949,259570,8517,154242333,134805,51.93,6,0.1
23 January 2023,598.15,601.5,592.5,600.45,599.2279359,138245,5395,82840266,58659,42.43,9,2.3
24 January 2023,602.45,604.6,593,594.35,598.6969117,217501,8344,130217177,76812,35.32,11.6,-8.1
25 January 2023,595.05,595.85,567.3,568.8,574.4433331,936393,25360,537904716,447820,47.82,28.55,-26.25
27 January 2023,572.15,572.15,532.35,540.2,547.7844868,1346646,50854,737671788,651257,48.36,39.8,-31.95
30 January 2023,530.35,554.5,525.05,538.35,536.8645817,1702096,52622,913795057,585673,34.41,29.45,8
31 January 2023,545.75,556.95,538,553.7,549.9487907,1085214,24032,596812127,324257,29.88,18.95,7.95
01 February 2023,562.85,564.95,499.35,527.1,540.3684139,2394144,62867,1293719796,804107,33.59,65.6,-35.75
02 February 2023,516.8,532.7,502.55,528,520.8873836,1602831,37941,834894446,398887,24.89,30.15,11.2
03 February 2023,535,546,519.4,544.45,536.6191458,1735194,23312,931138322,643228,37.07,26.6,9.45
06 February 2023,554,558.25,536.75,545.35,545.3652641,1473575,27833,803636619,427706,29.02,21.5,-8.65
07 February 2023,548,551.65,541.25,547.1,546.9078092,647852,11510,354315318,134666,20.79,10.4,-0.9
08 February 2023,548.15,554.65,545.55,549.55,550.0017483,738413,15881,406128441,258847,35.05,9.1,1.4
09 February 2023,553,553,542.8,550.65,548.3407564,674156,7160,369667211,395947,58.73,10.2,-2.35
10 February 2023,547.45,557.05,546.65,552.95,553.8157899,361598,7983,200258682,100064,27.67,10.4,5.5
13 February 2023,554.7,556.8,533.4,537.3,539.6155549,577180,11150,311455306,169471,29.36,23.4,-17.4
14 February 2023,539.7,544.6,530.8,540.65,536.6410494,330324,7009,177265418,68607,20.77,13.8,0.95
15 February 2023,541.45,544.65,537,542.2,541.5843692,294189,6379,159328164,86777,29.5,7.65,0.75
16 February 2023,546.05,546.75,539,540.1,542.6275205,263883,6170,143190178,117588,44.56,7.75,-5.95
17 February 2023,539.15,539.5,527.8,530.9,532.5988438,771672,22533,410991615,353809,45.85,11.7,-8.25
20 February 2023,532.4,534,522.1,525.1,527.4685039,507031,11037,267442883,172176,33.96,11.9,-7.3
21 February 2023,527.2,529,522.5,523.25,525.6704702,317073,8357,166675913,85589,26.99,6.5,-3.95
22 February 2023,521.2,521.75,512.5,516.35,516.8814703,355801,10340,183906944,130667,36.72,9.25,-4.85
23 February 2023,518.65,524,511.25,520.8,518.2331281,674569,16988,349584003,147546,21.87,12.75,2.15
24 February 2023,526.75,527.6,517.4,520.95,522.2853735,351252,7422,183453782,76034,21.65,10.2,-5.8
27 February 2023,520.95,529.6,519.05,527.95,525.4010412,397605,8570,208902081,107057,26.93,10.55,7
28 February 2023,527.95,528,521.7,522.75,524.6724782,589521,13933,309305444,175812,29.82,6.3,-5.2
01 March 2023,523.05,537.5,523.05,536.8,532.1285705,384155,7751,204419851,137297,35.74,14.45,13.75
02 March 2023,536,539.95,532.45,533.8,535.5627283,480134,12293,257141875,167529,34.89,7.5,-2.2
03 March 2023,541.2,564,541.2,561.1,557.3209313,2188942,40537,1219943194,1249343,57.08,22.8,19.9
06 March 2023,565,568,559.05,561.65,563.6274469,378483,9081,213323407,124113,32.79,8.95,-3.35
08 March 2023,560,565.55,556.55,564.8,561.0972959,415660,8100,233225702,144904,34.86,9,4.8
09 March 2023,565,565.9,558.1,559.1,561.7965577,350522,9637,196922053,150962,43.07,7.8,-5.9
10 March 2023,553.9,554.95,545,547.25,548.5927938,603505,17465,331078494,234636,38.88,9.95,-6.65
13 March 2023,545.1,553.2,528.25,529.7,540.4516812,535464,12925,289392419,167826,31.34,24.95,-15.4
14 March 2023,528.95,532.95,520,525.25,525.3066426,545071,15805,286329417,117391,21.54,12.95,-3.7
15 March 2023,530.4,531.85,515.5,517.45,524.6765824,393683,10121,206556251,126588,32.15,16.35,-12.95
16 March 2023,517.45,529.3,514.4,524.45,521.3635871,686944,12052,358147588,122897,17.89,14.9,7
17 March 2023,529.7,531.6,520.1,529.2,525.4084631,454773,9750,238941583,124251,27.32,11.5,-0.5
20 March 2023,527,527,515,519.1,519.0424228,435403,12368,225992628,127137,29.2,12,-7.9
21 March 2023,522,523.4,516.55,521.75,520.1637523,413466,7754,215070026,99571,24.08,6.85,-0.25
22 March 2023,522.7,526.9,520.25,521.5,523.8984097,282783,6352,148149564,75272,26.62,6.65,-1.2
23 March 2023,519.9,521,511.9,512.7,516.930147,455428,10697,235424463,187956,41.27,9.1,-7.2
24 March 2023,514.1,515.1,503.75,505.6,510.5164261,407127,8928,207845021,130990,32.17,11.35,-8.5
27 March 2023,507.1,514,501.85,510,509.1497074,750504,16029,382118892,241923,32.23,12.15,2.9
28 March 2023,512,512,504,508.1,508.0174168,323998,7539,164596627,114472,35.33,8,-3.9
29 March 2023,508.1,518,506.4,516.35,511.7858422,736275,14454,376815121,238850,32.44,11.6,8.25
31 March 2023,520.05,524.9,519.55,523.7,521.9488356,438019,8746,228623507,108510,24.77,5.35,3.65
03 April 2023,524.55,528.5,522.05,526.65,525.5697621,308599,5900,162190303,84554,27.4,6.45,2.1
05 April 2023,527,527.6,519,522.8,522.7772872,302349,7276,158061190,86613,28.65,8.6,-4.2
06 April 2023,523.95,533.6,521.9,527.95,528.8779147,468140,8153,247588907,111362,23.79,11.7,4
10 April 2023,528.3,530.35,525,526.3,527.3820895,377867,9931,199280288,116848,30.92,5.35,-2
11 April 2023,530.55,535.5,527.2,532,533.2173511,623590,11969,332509008,256772,41.18,8.3,1.45
12 April 2023,532.1,534.05,526.05,528.25,529.6803733,238741,5615,126456422,77055,32.28,8,-3.85
13 April 2023,527.65,534.45,527.1,533.15,530.7394589,733247,11360,389163116,240718,32.83,7.35,5.5
17 April 2023,525.25,544.7,525.25,544,538.7361281,1042487,19255,561625410,475290,45.59,19.45,18.75
18 April 2023,542,548.3,540.45,545.8,545.2627036,652827,13674,355962215,212388,32.53,7.85,3.8
19 April 2023,544.45,547.25,538.5,540.35,543.2503674,317082,5676,172254913,103053,32.5,8.75,-4.1
20 April 2023,540.55,545.35,536.9,544.7,541.4363985,454958,8506,246330821,176331,38.76,8.45,4.15
21 April 2023,544.15,546.45,539.8,542.95,542.498189,199894,4803,108442133,41773,20.9,6.65,-1.2
24 April 2023,542.95,555.5,542.95,554.55,550.4095682,512613,10875,282147100,197119,38.45,12.55,11.6
25 April 2023,555,568,554.55,561.65,562.2101297,655814,9161,368705274,153428,23.4,13.45,6.65
26 April 2023,562.1,567,556.4,566.3,562.487018,302034,7033,169890204,98431,32.59,10.6,4.2
27 April 2023,564.1,567.3,561.25,564.95,564.0680377,268175,5509,151268946,62809,23.42,6.05,0.85
28 April 2023,565.55,580,565.55,578.05,571.6511702,878199,19949,502023486,513844,58.51,14.45,12.5
02 May 2023,578.1,580.95,573.3,575.15,577.7849398,300302,6754,173509973,132849,44.24,7.65,-2.95
03 May 2023,571,575,569.1,570.2,571.8458081,428064,6680,244786604,250943,58.62,5.9,-0.8
04 May 2023,571.5,581,569,580,576.5746147,443304,7170,255597833,133433,30.1,12,8.5
05 May 2023,579.5,587.95,575.05,576.35,582.9352965,786758,16581,458629008,363021,46.14,12.9,-3.15
08 May 2023,576.35,587.5,576.35,583.4,582.1159885,414153,7347,241085083,128990,31.15,11.15,7.05
09 May 2023,585,586.65,572.15,573.45,577.4219522,401946,8382,232092444,123489,30.72,14.5,-11.55
10 May 2023,574,574.35,563.35,572.05,568.7865275,382363,7554,217482923,79620,20.82,11,-1.95
11 May 2023,574.85,577.5,572.5,573.4,574.5677704,243093,6217,139673403,57723,23.75,5,-1.45
12 May 2023,574.9,580.8,571.75,578.1,576.9618074,240806,5020,138935865,59370,24.65,9.05,3.2
15 May 2023,578.8,583.95,574.55,581.9,580.9405173,294489,5860,171080592,93191,31.64,9.4,3.1
16 May 2023,583.75,590.1,582,586.2,586.2818417,734987,13846,430909532,338700,46.08,8.1,2.45
17 May 2023,585.35,590.45,579.65,586.5,584.833712,435714,8454,254820236,151850,34.85,10.8,1.15
18 May 2023,592.35,593.65,571.4,574.15,583.0591174,1782979,29047,1039582162,385919,21.64,22.25,-18.2
